Date,KOSPI
2025-06-23,3056
2025-06-30,3054
2025-07-07,3176
2025-07-14,3188
2025-07-21,3196
2025-07-28,3119
2025-08-04,3210
2025-08-11,3226
2025-08-18,3169
2025-08-25,3186
2025-09-01,3205
2025-09-08,3396
2025-09-15,3445
2025-09-22,3386
2025-09-29,3549
2025-10-06,3611
2025-10-13,3749
2025-10-20,3942
2025-10-27,4108
2025-11-03,3954
2025-11-10,4012
2025-11-17,3853
2025-11-24,3927
2025-12-01,4100
2025-12-08,4167
2025-12-15,4021
2025-12-22,4130
2025-12-29,4310
2026-01-05,4586
2026-01-12,4841
2026-01-19,4990
2026-01-26,5224
2026-02-02,5089
2026-02-09,5507
2026-02-16,5809
2026-02-23,6244
2026-03-02,5585
2026-03-09,5487
2026-03-16,5781
2026-03-23,5439
2026-03-30,5377
2026-04-06,5859
2026-04-13,6192
2026-04-20,6476
2026-04-27,6599
2026-05-04,7498
2026-05-11,7493
2026-05-18,7848
2026-05-25,8476
2026-06-01,8161
2026-06-08,8124
2026-06-15,9052
