Date,SK hynix,Samsung
2025-06-23,100,100
2025-06-24,107,104
2025-06-25,110,106
2025-06-26,113,104
2025-06-27,109,105
2025-06-30,113,103
2025-07-01,110,104
2025-07-02,108,105
2025-07-03,107,110
2025-07-04,104,109
2025-07-07,104,106
2025-07-08,109,106
2025-07-09,108,104
2025-07-10,114,105
2025-07-11,113,108
2025-07-14,116,108
2025-07-15,115,110
2025-07-16,114,112
2025-07-17,104,115
2025-07-18,104,116
2025-07-21,105,117
2025-07-22,103,114
2025-07-23,104,114
2025-07-24,104,114
2025-07-25,102,114
2025-07-28,101,121
2025-07-29,101,122
2025-07-30,102,125
2025-07-31,105,123
2025-08-01,99,119
2025-08-04,99,120
2025-08-05,102,121
2025-08-06,100,119
2025-08-07,101,122
2025-08-08,99,124
2025-08-11,103,122
2025-08-12,104,123
2025-08-13,107,124
2025-08-14,107,123
2025-08-18,103,121
2025-08-19,101,121
2025-08-20,98,122
2025-08-21,94,122
2025-08-22,97,123
2025-08-25,100,123
2025-08-26,101,121
2025-08-27,100,122
2025-08-28,103,120
2025-08-29,104,120
2025-09-01,99,117
2025-09-02,100,119
2025-09-03,101,120
2025-09-04,102,121
2025-09-05,105,120
2025-09-08,107,121
2025-09-09,111,123
2025-09-10,117,125
2025-09-11,118,127
2025-09-12,127,130
2025-09-15,128,132
2025-09-16,134,137
2025-09-17,129,135
2025-09-18,137,138
2025-09-22,135,144
2025-09-23,139,146
2025-09-24,138,147
2025-09-25,137,148
2025-09-26,130,144
2025-09-29,134,145
2025-09-30,134,145
2025-10-01,139,148
2025-10-02,152,155
2025-10-10,165,163
2025-10-13,160,161
2025-10-14,159,158
2025-10-15,163,164
2025-10-16,174,168
2025-10-17,179,169
2025-10-20,187,169
2025-10-21,185,168
2025-10-22,186,170
2025-10-23,184,166
2025-10-24,197,170
2025-10-27,206,176
2025-10-28,201,172
2025-10-29,215,173
2025-10-30,219,179
2025-10-31,215,185
2025-11-03,239,192
2025-11-04,226,181
2025-11-05,223,173
2025-11-06,229,171
2025-11-07,224,169
2025-11-10,234,173
2025-11-11,239,178
2025-11-12,238,178
2025-11-13,236,177
2025-11-14,216,168
2025-11-17,234,173
2025-11-18,220,169
2025-11-19,217,166
2025-11-20,220,173
2025-11-21,201,163
2025-11-24,200,167
2025-11-25,200,171
2025-11-26,202,177
2025-11-27,210,178
2025-11-28,204,173
2025-12-01,207,174
2025-12-02,215,178
2025-12-03,213,180
2025-12-04,209,181
2025-12-05,210,187
2025-12-08,222,189
2025-12-09,218,187
2025-12-10,226,186
2025-12-11,218,185
2025-12-12,220,188
2025-12-15,213,181
2025-12-16,204,177
2025-12-17,212,186
2025-12-18,213,186
2025-12-19,211,183
2025-12-22,224,191
2025-12-23,225,192
2025-12-24,227,192
2025-12-26,231,202
2025-12-29,247,206
2025-12-30,251,207
2026-01-02,261,222
2026-01-05,268,238
2026-01-06,280,239
2026-01-07,286,243
2026-01-08,291,239
2026-01-09,287,240
2026-01-12,289,239
2026-01-13,284,237
2026-01-14,286,242
2026-01-15,289,248
2026-01-16,291,257
2026-01-19,294,257
2026-01-20,286,250
2026-01-21,285,258
2026-01-22,291,263
2026-01-23,296,262
2026-01-26,284,262
2026-01-27,308,275
2026-01-28,324,280
2026-01-29,332,277
2026-01-30,350,277
2026-02-02,320,259
2026-02-03,350,289
2026-02-04,347,292
2026-02-05,324,275
2026-02-06,323,273
2026-02-09,342,287
2026-02-10,338,286
2026-02-11,331,289
2026-02-12,342,308
2026-02-13,339,312
2026-02-19,345,328
2026-02-20,366,328
2026-02-23,366,333
2026-02-24,387,345
2026-02-25,392,351
2026-02-26,424,376
2026-02-27,409,373
2026-03-03,362,336
2026-03-04,327,297
2026-03-05,363,330
2026-03-06,356,324
2026-03-09,322,299
2026-03-10,361,324
2026-03-11,368,328
2026-03-12,358,324
2026-03-13,351,316
2026-03-16,375,325
2026-03-17,374,334
2026-03-18,407,359
2026-03-19,390,346
2026-03-20,388,344
2026-03-23,360,321
2026-03-24,380,327
2026-03-25,383,326
2026-03-26,360,311
2026-03-27,360,311
2026-03-30,336,304
2026-03-31,311,288
2026-04-01,346,327
2026-04-02,320,308
2026-04-03,338,321
2026-04-06,341,333
2026-04-07,353,339
2026-04-08,398,363
2026-04-09,385,352
2026-04-10,396,355
2026-04-13,401,347
2026-04-14,425,356
2026-04-15,438,364
2026-04-16,445,375
2026-04-17,435,372
2026-04-20,449,370
2026-04-21,472,378
2026-04-22,471,375
2026-04-23,472,387
2026-04-24,471,378
2026-04-27,498,387
2026-04-28,501,383
2026-04-29,498,390
2026-04-30,496,380
2026-05-04,558,401
2026-05-06,617,459
2026-05-07,637,468
2026-05-08,650,463
2026-05-11,724,492
2026-05-12,707,481
2026-05-13,761,490
2026-05-14,759,510
2026-05-15,701,466
2026-05-18,709,484
2026-05-19,672,475
2026-05-20,672,476
2026-05-21,748,516
2026-05-22,748,504
2026-05-26,791,516
2026-05-27,864,529
2026-05-28,882,516
2026-05-29,899,547
2026-06-01,911,602
2026-06-02,909,622
2026-06-04,886,606
2026-06-05,798,567
2026-06-08,736,509
2026-06-09,854,555
2026-06-10,789,522
2026-06-11,810,516
2026-06-12,829,556
2026-06-15,882,581
2026-06-16,918,591
2026-06-17,971,597
2026-06-18,1035,625
2026-06-19,1065,610
2026-06-22,1125,609
2026-06-23,985,534
